word,count
costard,120
bassanio,120
leon,120
strength,119
deeds,119
excellent,119
dream,119
soft,119
elizabeth,119
favour,118
lafeu,118
glou,118
loss,117
fools,117
hero,117
jul,117
pretty,116
attend,116
servants,116
killd,116
provost,116
loving,115
win,115
vile,115
hair,115
hortensio,115
action,114
ulysses,114
maria,114
touch,113
lordship,113
chamber,113
parts,112
longer,112
simple,112
plain,112
silence,112
battle,112
bianca,112
pride,111
enemies,111
heads,111
entreat,111
hostess,111
katherina,111
widow,110
issue,110
hide,110
marriage,110
noise,110
drum,110
shepherd,110
grant,109
takes,109
dull,109
children,109
morrow,109
doctor,109
mighty,109
cymbeline,109
hor,109
katharine,109
macduff,109
heir,108
form,108
chief,108
case,108
slender,108
kate,108
count,107
pluck,107
bears,107
force,107
hamlet,107
baptista,107
harry,107
evans,107
presence,106
passion,106
tale,106
shylock,106
roderigo,106
worst,105
bless,105
green,104
chance,104
died,104
teach,104
throw,104
charmian,104
cominius,104
cloten,104
castle,104
weak,103
faults,103
paper,103
feel,103
choose,103
jest,103
ont,103
tot,103
officer,103
close,103
pisanio,103
poins,103
dies,102
promise,102
health,102
honourable,102
awhile,102
dauphin,102
moth,102
gainst,101
shake,101
subject,101
hadst,101
quick,101
adieu,101
gates,101
buy,101
cap,101
boyet,101
writ,100
respect,100
feast,100
judgment,100
deliver,100
wolsey,100
fashion,99
curse,99
danger,99
wast,99
dangerous,99
troth,99
gratiano,99
lysander,99
lack,98
understand,98
escalus,98
exeter,98
edg,98
breast,97
aufidius,97
cade,97
hermia,97
mortal,96
wert,96
cast,96
boys,96
quarrel,96
army,96
iachimo,96
aaron,96
beard,95
virtuous,95
scorn,95
won,95
measure,95
foolish,95
valour,95
beg,95
grumio,95
short,94
fine,94
consent,94
offence,94
hearing,94
plague,94
honours,94
tent,94
westmoreland,94
hubert,94
mothers,93
lend,93
wisdom,93
receive,93
laid,93
angry,93
worship,93
stood,93
taen,93
lookd,93
rosaline,93
aguecheek,93
small,92
calls,92
mens,92
forget,92
book,92
thither,92
troy,92
harm,92
order,92
witch,92
murderer,92
agamemnon,92
gremio,92
golden,91
sings,91
learn,91
kingdom,91
wood,91
prison,91
lion,91
pains,91
emperor,91
adriana,91
ariel,91
year,90
perceive,90
alive,90
commend,90
hurt,90
banishd,90
ass,90
trumpets,90
turnd,90
senator,90
stephano,90
forgot,89
fearful,89
treason,89
reads,89
fluellen,89
tamora,89
fled,88
grey,88
jaques,88
touchstone,88
judge,88
lewis,88
fresh,87
shape,87
title,87
carry,87
patient,87
dinner,87
offer,87
piece,87
birth,86
greater,86
mock,86
humour,86
prayers,86
officers,86
honesty,86
alarum,86
diomedes,86
corn,86
pol,86
moor,86
venice,86
walls,85
drawn,85
glory,85
coward,85
ghost,85
wild,85
blow,85
broke,85
laugh,85
constable,85
caesars,85
held,84
womans,84
steal,84
wits,84
int,84
wounds,84
trumpet,84
polixenes,84
paulina,84
whereof,83
tongues,83
amen,83
feed,83
opinion,83
street,83
wine,83
jack,83
aeneas,83
holds,82
blame,82
suffer,82
citizens,82
purse,82
belarius,82
launcelot,82
launce,82
making,81
prisoner,81
falls,81
stir,81
match,81
safe,81
lorenzo,81
blind,80
tear,80
taste,80
double,80
fort,80
manner,80
dukes,80
labour,80
lancaster,80
pucelle,80
song,79
folly,79
borne,79
motion,79
brain,79
vow,79
